pk_gold,lat,lon,dias_evaluados,dias_optimos,pct_optimos,score_final,aggregated_at
4.299608|-75.299521,4.299608,-75.299521,3641,773,21.23,70.61,2026-04-14 09:57:56.419936-05
4.89961|-75.999524,4.89961,-75.999524,3643,104,2.85,70.55,2026-04-14 09:57:56.419936-05
5.399613|-75.699523,5.399613,-75.699523,3643,430,11.8,70.35,2026-04-14 09:57:56.419936-05
4.69961|-76.099525,4.69961,-76.099525,3643,128,3.51,69.69,2026-04-14 09:57:56.419936-05
4.199607|-75.299521,4.199607,-75.299521,3642,844,23.17,69.63,2026-04-14 09:57:56.419936-05
4.89961|-76.099525,4.89961,-76.099525,3643,46,1.26,69.39,2026-04-14 09:57:56.419936-05
4.69961|-75.999524,4.69961,-75.999524,3643,177,4.86,69.34,2026-04-14 09:57:56.419936-05
4.999611|-75.999524,4.999611,-75.999524,3643,110,3.02,69.31,2026-04-14 09:57:56.419936-05
5.499613|-75.999524,5.499613,-75.999524,3643,292,8.02,69.23,2026-04-14 09:57:56.419936-05
4.599609|-75.999524,4.599609,-75.999524,3643,172,4.72,68.51,2026-04-14 09:57:56.419936-05
4.599609|-76.099525,4.599609,-76.099525,3643,123,3.38,68.04,2026-04-14 09:57:56.419936-05
5.199612|-75.899524,5.199612,-75.899524,3643,154,4.23,67.95,2026-04-14 09:57:56.419936-05
4.099607|-75.399521,4.099607,-75.399521,3642,554,15.21,67.61,2026-04-14 09:57:56.419936-05
5.299612|-75.899524,5.299612,-75.899524,3643,78,2.14,67.19,2026-04-14 09:57:56.419936-05
5.299612|-75.499522,5.299612,-75.499522,3643,600,16.47,66.38,2026-04-14 09:57:56.419936-05
4.099607|-75.999524,4.099607,-75.999524,3643,105,2.88,66.29,2026-04-14 09:57:56.419936-05
4.199607|-75.899524,4.199607,-75.899524,3643,695,19.08,66.21,2026-04-14 09:57:56.419936-05
4.399608|-75.699523,4.399608,-75.699523,3643,521,14.3,65.39,2026-04-14 09:57:56.419936-05
4.999611|-75.699523,4.999611,-75.699523,3643,98,2.69,64.78,2026-04-14 09:57:56.419936-05
5.599614|-76.099525,5.599614,-76.099525,3643,375,10.29,64.23,2026-04-14 09:57:56.419936-05
5.299612|-75.799523,5.299612,-75.799523,3643,222,6.09,63.96,2026-04-14 09:57:56.419936-05
4.79961|-75.699523,4.79961,-75.699523,3643,125,3.43,62.57,2026-04-14 09:57:56.419936-05
4.199607|-75.399521,4.199607,-75.399521,3642,426,11.7,61.79,2026-04-14 09:57:56.419936-05
5.399613|-76.099525,5.399613,-76.099525,3643,1,0.03,60.66,2026-04-14 09:57:56.419936-05
5.099611|-75.499522,5.099611,-75.499522,3643,304,8.34,60.6,2026-04-14 09:57:56.419936-05
5.399613|-75.899524,5.399613,-75.899524,3643,100,2.74,60.1,2026-04-14 09:57:56.419936-05
